text,label,source
"The equipment will be made at Vaahto 's plant in Hollola in Finland , and delivery is scheduled for the first quarter of 2009 .",neutral,financial_phrasebank
27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,positive,financial_phrasebank
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",positive,financial_phrasebank
"Also , a six-year historic analysis is provided for this market .",neutral,financial_phrasebank
"Estonia 's Agriculture Minister Helir-Valdor Seeder is in Finland on a two-day visit , in the course of which he will meet with his Finnish counterpart Sirkka-Liisa Anttila .",neutral,financial_phrasebank
"The e-commerce site and flagship will be managed by Marimekko North America Retail LLC , a subsidiary established in the U.S. last year .",neutral,financial_phrasebank
"The Costanza light , with an aluminum base and washable shade , comes in white , pistachio , orange , blue and red .",neutral,financial_phrasebank
"According to HK Ruokatalo , almost all the meat used by the company comes from Finland .",neutral,financial_phrasebank
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",negative,financial_phrasebank
"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",neutral,financial_phrasebank
Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS,negative,financial_phrasebank
"Componenta is a metal sector company with international operations and production plants located in Finland , the Netherlands , Sweden and Turkey .",neutral,financial_phrasebank
"The company 's board of directors will propose a dividend of EUR 0.95 per share for 2008 at the annual general meeting , scheduled to be held on March 23 , 2009 .",neutral,financial_phrasebank
"Indigo and Somoncom serve 377,000 subscribers and had a market share of approximately 27 % as of May 2007 .",neutral,financial_phrasebank
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,negative,financial_phrasebank
"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze .",neutral,financial_phrasebank
Revenues at the same time grew 14 percent to 43 million euros .,positive,financial_phrasebank
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,financial_phrasebank
Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks .,neutral,financial_phrasebank
Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .,neutral,financial_phrasebank
"Department store sales improved by 14 % to EUR 1,070.6 mn .",positive,financial_phrasebank
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,negative,financial_phrasebank
"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",positive,financial_phrasebank
Delivery is due in the second half of 2011 .,neutral,financial_phrasebank
"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .",negative,financial_phrasebank
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",neutral,financial_phrasebank
"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",positive,financial_phrasebank
"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",positive,financial_phrasebank
"The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group .",neutral,financial_phrasebank
The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,neutral,financial_phrasebank
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,negative,financial_phrasebank
"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn .",negative,financial_phrasebank
"The Committee proposes the following remuneration : a monthly remuneration of EUR 5,000 for the Chairman , EUR 3,500 for the Deputy Chairman , and EUR 2,500 for the other Board members .",neutral,financial_phrasebank
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,financial_phrasebank
"Tiimari 's registered share capital is 16,474,755 shares as per today .",neutral,financial_phrasebank
